player,seasons,batting_runs,batting_average,strike_rate,runs_per_match,bowling_wickets,economy,wickets_per_match,cluster_id,cluster_name
Fazalhaq Farooqi,2,3.0,3.0,23.076923076923077,1.5,6.0,8.481481481481481,0.8571428571428571,0,Finishers / All-Rounders
G Coetzee,1,14.0,3.5,63.63636363636363,2.8,13.0,9.916666666666666,1.3,0,Finishers / All-Rounders
G Gambhir,11,4217.0,31.237037037037037,119.66515323496027,27.927152317880793,0.0,0.0,0.0,1,Power Hitters
GB Hogg,4,22.0,11.0,100.0,5.5,25.0,7.532188841201716,1.1904761904761905,0,Finishers / All-Rounders
GC Smith,4,739.0,24.633333333333333,106.94645441389291,25.482758620689655,0.0,0.0,0.0,2,Finishers / All-Rounders
GC Viljoen,1,3.0,1.5,42.857142857142854,1.0,8.0,9.41095890410959,1.3333333333333333,0,Finishers / All-Rounders
GD McGrath,1,4.0,4.0,80.0,2.0,14.0,6.674772036474164,1.0,0,Finishers / All-Rounders
GD Phillips,2,65.0,9.285714285714286,118.18181818181819,8.125,2.0,7.741935483870967,0.5,2,Finishers / All-Rounders
GH Vihari,3,284.0,14.2,85.80060422960725,12.347826086956522,1.0,6.697674418604651,0.16666666666666666,2,Finishers / All-Rounders
GHS Garton,1,2.0,2.0,50.0,1.0,3.0,8.412371134020617,0.6,0,Finishers / All-Rounders
GJ Bailey,5,663.0,22.862068965517242,120.1086956521739,18.416666666666668,0.0,0.0,0.0,2,Finishers / All-Rounders
GJ Maxwell,11,2772.0,24.972972972972972,150.4885993485342,21.65625,41.0,8.151295336787564,0.5189873417721519,1,Power Hitters
GR Napier,1,15.0,15.0,93.75,15.0,1.0,7.0,1.0,2,Finishers / All-Rounders
GS Sandhu,1,0.0,0.0,0.0,0.0,1.0,10.75,0.5,0,Finishers / All-Rounders
Gagandeep Singh,1,0.0,0.0,0.0,0.0,3.0,10.142857142857142,0.75,0,Finishers / All-Rounders
Gulbadin Naib,1,19.0,19.0,126.66666666666667,19.0,0.0,12.0,0.0,2,Finishers / All-Rounders
Gurkeerat Singh,6,511.0,18.925925925925927,117.20183486238533,15.96875,5.0,7.097560975609756,0.8333333333333334,2,Finishers / All-Rounders
Gurnoor Brar,1,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0,Finishers / All-Rounders
H Das,1,2.0,2.0,40.0,2.0,0.0,0.0,0.0,0,Finishers / All-Rounders
H Klaasen,4,993.0,38.19230769230769,161.99021207177813,31.03125,0.0,0.0,0.0,2,Finishers / All-Rounders
H Sharma,2,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0,Finishers / All-Rounders
HC Brook,1,190.0,21.11111111111111,119.49685534591195,17.272727272727273,0.0,0.0,0.0,2,Finishers / All-Rounders
HE van der Dussen,1,22.0,11.0,88.0,7.333333333333333,0.0,0.0,0.0,2,Finishers / All-Rounders
HF Gurney,1,1.0,1.0,20.0,1.0,7.0,8.485207100591715,0.875,0,Finishers / All-Rounders
HH Gibbs,4,886.0,27.6875,105.8542413381123,24.61111111111111,0.0,0.0,0.0,2,Finishers / All-Rounders
